"","CRC.TITLE","CRC.REL.SCORE","CRC.MATCHED.GENES","CRC.TOTAL.GENES"
"hsa03410","Base excision repair",36.67,7,37
"hsa05144","Malaria",36.44,13,55
"hsa05034","Alcoholism",35.64,12,184
"hsa05322","Systemic lupus erythematosus",35.64,2,142
"hsa04540","Gap junction",35.61,14,89
"hsa05134","Legionellosis",35.2,13,59
"hsa04810","Regulation of actin cytoskeleton",34.68,22,236
"hsa04730","Long-term depression",34.62,13,61
"hsa04024","cAMP signaling pathway",34.07,21,210
"hsa04270","Vascular smooth muscle contraction",32.75,9,121
"hsa04921","Oxytocin signaling pathway",32.75,19,168
"hsa05110","Vibrio cholerae infection",31.48,4,56
"hsa05120","Epithelial cell signaling in Helicobacter pyloriinfection",31.48,12,72
"hsa04152","AMPK signaling pathway",31.48,14,132
"hsa05323","Rheumatoid arthritis",31.06,14,91
"hsa05143","African trypanosomiasis",30.7,10,36
"hsa04144","Endocytosis",30.24,22,269
"hsa05132","Salmonella infection",30.08,14,96
"hsa04064","NF-kappa B signaling pathway",29.52,14,99
"hsa05032","Morphine addiction",29.24,2,92
"hsa04726","Serotonergic synapse",29.24,14,115
"hsa04728","Dopaminergic synapse",29.24,8,130
"hsa04713","Circadian entrainment",29.24,6,98
"hsa04727","GABAergic synapse",29.24,3,90
"hsa04724","Glutamatergic synapse",29.24,5,117
"hsa04723","Retrograde endocannabinoid signaling",29.24,6,104
"hsa04725","Cholinergic synapse",29.24,12,116
"hsa04360","Axon guidance",29.09,16,140
"hsa04670","Leukocyte transendothelial migration",28.32,15,125
"hsa05130","Pathogenic Escherichia coli infection",26.67,8,60
"hsa05014","Amyotrophic lateral sclerosis (ALS)",26.22,11,57
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy (ARVC)",25.92,7,77
"hsa05410","Hypertrophic cardiomyopathy (HCM)",25.92,6,84
"hsa05414","Dilated cardiomyopathy",25.92,7,91
"hsa05100","Bacterial invasion of epithelial cells",25.03,12,88
"hsa04930","Type II diabetes mellitus",24.74,9,62
"hsa01100","Metabolic pathways",23.34,43,1324
"hsa05204","Chemical carcinogenesis",23,14,90
"hsa00830","Retinol metabolism",23,7,65
"hsa00982","Drug metabolism - cytochrome P450",23,10,68
"hsa00980","Metabolism of xenobiotics by cytochrome P450",23,11,74
"hsa05131","Shigellosis",21.98,10,69
"hsa04960","Aldosterone-regulated sodium reabsorption",20.86,8,42
"hsa04530","Tight junction",20.21,13,144
"hsa04720","Long-term potentiation",19.91,10,67
"hsa04611","Platelet activation",18.58,12,135
"hsa04920","Adipocytokine signaling pathway",18.25,9,72
"hsa04913","Ovarian steroidogenesis",18.01,8,55
"hsa00670","One carbon pool by folate",17.48,3,21
"hsa04666","Fc gamma R-mediated phagocytosis",17.25,10,100
"hsa04923","Regulation of lipolysis in adipocytes",17.1,8,60
"hsa05020","Prion diseases",17.03,7,43
"hsa00190","Oxidative phosphorylation",14.98,5,136
"hsa05016","Huntingtons disease",14.98,15,209
"hsa05012","Parkinsons disease",14.98,9,146
"hsa00140","Steroid hormone biosynthesis",14.14,7,59
"hsa04261","Adrenergic signaling in cardiomyocytes",14.09,10,151
"hsa04022","cGMP-PKG signaling pathway",14.09,9,175
"hsa04320","Dorso-ventral axis formation",13.52,5,27
"hsa00232","Caffeine metabolism",13.13,3,11
"hsa00500","Starch and sucrose metabolism",12.72,4,66
"hsa00983","Drug metabolism - other enzymes",12.72,10,54
"hsa00860","Porphyrin and chlorophyll metabolism",12.72,4,43
"hsa00040","Pentose and glucuronate interconversions",12.72,4,37
"hsa00053","Ascorbate and aldarate metabolism",12.72,4,27
"hsa04622","RIG-I-like receptor signaling pathway",11.53,7,73
"hsa00590","Arachidonic acid metabolism",10.15,4,62
"hsa00591","Linoleic acid metabolism",10.15,3,29
"hsa00592","alpha-Linolenic acid metabolism",10.15,1,25
